$02
01
Handheld device version M2.00.05
Sat Nov 11 03:41:43 2023
DCU3ER Id: 010552  [Probe Type; 11 FLUSH / BAND 020]
Time, Date, Loss (nm), Temperature (C)
02:00:01,10/08/23,00053658, 000.0
10:00:01,10/08/23,00053942, 000.0
18:00:01,10/08/23,00053942, 000.0
02:00:01,11/08/23,00053983, 000.0
10:00:01,11/08/23,00054064, 000.0
18:00:01,11/08/23,00054104, 000.0
02:00:01,12/08/23,00053536, 000.0
10:00:01,12/08/23,00053373, 000.0
18:00:01,12/08/23,00053658, 000.0
02:00:01,13/08/23,00053455, 000.0
10:00:01,13/08/23,00053373, 000.0
18:00:01,13/08/23,00053577, 000.0
02:00:01,14/08/23,00053373, 000.0
10:00:01,14/08/23,00053577, 000.0
18:00:01,14/08/23,00053658, 000.0
02:00:01,15/08/23,00053820, 000.0
10:00:01,15/08/23,00054104, 000.0
18:00:01,15/08/23,00054064, 000.0
02:00:01,16/08/23,00053414, 000.0
10:00:01,16/08/23,00053617, 000.0
18:00:01,16/08/23,00053617, 000.0
02:00:01,17/08/23,00053617, 000.0
10:00:01,17/08/23,00053861, 000.0
18:00:01,17/08/23,00053577, 000.0
02:00:01,18/08/23,00053577, 000.0
10:00:01,18/08/23,00053577, 000.0
18:00:01,18/08/23,00053617, 000.0
02:00:01,19/08/23,00053739, 000.0
10:00:01,19/08/23,00053902, 000.0
18:00:01,19/08/23,00053902, 000.0
02:00:01,20/08/23,00053617, 000.0
10:00:01,20/08/23,00054104, 000.0
18:00:01,20/08/23,00054226, 000.0
02:00:01,21/08/23,00054104, 000.0
10:00:01,21/08/23,00053577, 000.0
18:00:01,21/08/23,00053495, 000.0
02:00:01,22/08/23,00053577, 000.0
10:00:01,22/08/23,00054104, 000.0
18:00:01,22/08/23,00054104, 000.0
02:00:01,23/08/23,00053739, 000.0
10:00:01,23/08/23,00053820, 000.0
18:00:01,23/08/23,00054023, 000.0
02:00:01,24/08/23,00053902, 000.0
10:00:01,24/08/23,00053739, 000.0
18:00:01,24/08/23,00053658, 000.0
02:00:01,25/08/23,00054064, 000.0
10:00:01,25/08/23,00053739, 000.0
18:00:01,25/08/23,00053414, 000.0
02:00:01,26/08/23,00053658, 000.0
10:00:01,26/08/23,00054226, 000.0
18:00:01,26/08/23,00053861, 000.0
02:00:01,27/08/23,00053577, 000.0
10:00:01,27/08/23,00054023, 000.0
18:00:01,27/08/23,00054145, 000.0
02:00:01,28/08/23,00054064, 000.0
10:00:01,28/08/23,00053902, 000.0
