ClockPosition,CreatedAt,UpdatedAt,Id,Name,ProbeThickness,ProbeLife,SerialNumber,Timestamp,Value,Temperature,Koef,SystemType,CreatedAt,UpdatedAt,Id,Name,IsValueValid,CreatedAt,UpdatedAt,Id,Name
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/19/2020 18:00:00 +00:00,103187,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12341,103187
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/20/2020 18:00:00 +00:00,103251,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12342,103251
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/21/2020 18:00:00 +00:00,103090,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12343,103090
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/22/2020 18:00:00 +00:00,103155,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12344,103155
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/23/2020 18:00:00 +00:00,103090,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12345,103090
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/24/2020 18:00:00 +00:00,103122,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12346,103122
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/25/2020 18:00:00 +00:00,103187,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12347,103187
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/26/2020 18:00:00 +00:00,103090,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12348,103090
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/27/2020 18:00:00 +00:00,103058,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12349,103058
Hour12,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,1,Торцевой малый,0.5,0.25,10559,12/28/2020 18:00:00 +00:00,103122,0,1000000,,01/16/2023 19:04:47 +00:00,01/16/2023 19:04:47 +00:00,5,DCU3ER,True,02/13/2023 10:31:35 +00:00,02/13/2023 10:31:35 +00:00,12350,103122
